id_comparacao;id_hospital;imag_medica;tempo_espera;cuidados;exp_pacientes;read_nacional;seguranca_nac;mortalidade_nac;data_comparacao
1432;171366;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1433;191323;Not Available;Same as the national average;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1434;190218;Not Available;Above the national average;Below the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1435;180027;Same as the national average;Same as the national average;Below the national average;Above the national average;Below the national average;Above the national average;Below the national average;2017-05-20
1436;150004;Same as the national average;Same as the national average;Same as the national average;Below the national average;Below the national average;Same as the national average;Above the national average;2017-05-20
1437;161367;Below the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1438;110226;Same as the national average;Below the national average;Same as the national average;Below the national average;Same as the national average;Below the national average;Same as the national average;2017-05-20
1439;161336;Not Available;Same as the national average;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
1440;110191;Same as the national average;Below the national average;Same as the national average;Below the national average;Below the national average;Above the national average;Below the national average;2017-05-20
1441;170013;Below the national average;Above the national average;Same as the national average;Above the national average;Above the national average;Below the national average;Same as the national average;2017-05-20
1442;190140;Not Available;Above the national average;Same as the national average;Not Available;Below the national average;Not Available;Same as the national average;2017-05-20
1443;201311;Same as the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1444;190041;Above the national average;Same as the national average;Below the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;2017-05-20
1445;170009;Not Available;Same as the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1446;140197;Not Available;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1447;110189;Same as the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1448;141316;Same as the national average;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1449;180012;Same as the national average;Below the national average;Below the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;2017-05-20
1450;150102;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
1451;140179;Below the national average;Below the national average;Below the national average;Same as the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
1452;180149;Not Available;Same as the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1453;190004;Below the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Below the national average;Same as the national average;2017-05-20
1454;150169;Same as the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1455;150024;Same as the national average;Below the national average;Below the national average;Below the national average;Same as the national average;Below the national average;Same as the national average;2017-05-20
1456;181315;Not Available;Above the national average;Same as the national average;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
1457;210058;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1458;160024;Same as the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Above the national average;Same as the national average;2017-05-20
1459;191326;Not Available;Above the national average;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1460;190208;Not Available;Above the national average;Same as the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1461;170196;Not Available;Not Available;Not Available;Above the national average;Not Available;Not Available;Not Available;2017-05-20
1462;140290;Same as the national average;Same as the national average;Same as the national average;Below the national average;Above the national average;Above the national average;Above the national average;2017-05-20
1463;190007;Below the national average;Same as the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Above the national average;2017-05-20
1464;151331;Same as the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1465;190236;Below the national average;Same as the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Above the national average;2017-05-20
1466;180138;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1467;150056;Above the national average;Same as the national average;Same as the national average;Below the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
1468;181318;Same as the national average;Not Available;Not Available;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1469;190312;Below the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;Not Available;2017-05-20
1470;161346;Not Available;Same as the national average;Same as the national average;Same as the national average;Not Available;Not Available;Not Available;2017-05-20
1471;161303;Not Available;Above the national average;Not Available;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
1472;180018;Above the national average;Above the national average;Same as the national average;Same as the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
1473;150030;Same as the national average;Above the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
1474;220063;Above the national average;Below the national average;Same as the national average;Same as the national average;Below the national average;Same as the national average;Same as the national average;2017-05-20
1475;141344;Not Available;Not Available;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1476;170133;Same as the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
1477;140184;Same as the national average;Above the national average;Same as the national average;Below the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
1478;150007;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
1479;150183;Not Available;Same as the national average;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
1480;140082;Same as the national average;Same as the national average;Same as the national average;Below the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
1481;131319;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
1482;140289;Above the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
