id_comparacao;id_hospital;imag_medica;tempo_espera;cuidados;exp_pacientes;read_nacional;seguranca_nac;mortalidade_nac;data_comparacao
1;10005;Below the national average;Above the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Below the national average;2017-05-20
2;10012;Same as the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Below the national average;2017-05-20
3;10032;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
4;10095;Not Available;Same as the national average;Below the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
5;10131;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Above the national average;Below the national average;2017-05-20
6;11304;Not Available;Same as the national average;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
7;20018;Not Available;Not Available;Not Available;Below the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
8;21308;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
9;21309;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
10;21310;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
11;30071;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
12;30073;Not Available;Not Available;Same as the national average;Below the national average;Same as the national average;Same as the national average;Not Available;2017-05-20
13;30074;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
14;30077;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
15;30084;Not Available;Not Available;Below the national average;Same as the national average;Same as the national average;Not Available;Not Available;2017-05-20
16;31305;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
17;31308;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
18;31309;Not Available;Same as the national average;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
19;40007;Same as the national average;Same as the national average;Same as the national average;Below the national average;Below the national average;Below the national average;Below the national average;2017-05-20
20;40018;Not Available;Above the national average;Same as the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
21;40050;Same as the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
22;40154;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
23;41324;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
24;41328;Below the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
25;50054;Not Available;Below the national average;Same as the national average;Below the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
26;50103;Same as the national average;Below the national average;Same as the national average;Below the national average;Same as the national average;Below the national average;Above the national average;2017-05-20
27;50138;Not Available;Not Available;Same as the national average;Below the national average;Same as the national average;Below the national average;Not Available;2017-05-20
28;50145;Above the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
29;50224;Below the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Above the national average;Above the national average;2017-05-20
30;50280;Above the national average;Below the national average;Same as the national average;Below the national average;Above the national average;Above the national average;Below the national average;2017-05-20
31;50309;Above the national average;Below the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
32;50488;Same as the national average;Below the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
33;50547;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
34;50567;Below the national average;Below the national average;Same as the national average;Below the national average;Above the national average;Below the national average;Same as the national average;2017-05-20
35;50684;Not Available;Below the national average;Same as the national average;Below the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
36;50717;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;Not Available;2017-05-20
37;51310;Not Available;Not Available;Not Available;Above the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
38;51317;Not Available;Not Available;Not Available;Below the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
39;53302;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
40;53306;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
41;61325;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
42;61326;Not Available;Not Available;Not Available;Above the national average;Same as the national average;Not Available;Not Available;2017-05-20
43;70006;Above the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Below the national average;Above the national average;2017-05-20
44;70029;Above the national average;Same as the national average;Same as the national average;Above the national average;Below the national average;Above the national average;Same as the national average;2017-05-20
45;80003;Same as the national average;Below the national average;Same as the national average;Below the national average;Same as the national average;Above the national average;Same as the national average;2017-05-20
46;100054;Below the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;2017-05-20
47;100137;Same as the national average;Below the national average;Same as the national average;Below the national average;Below the national average;Same as the national average;Same as the national average;2017-05-20
48;100183;Same as the national average;Same as the national average;Same as the national average;Below the national average;Below the national average;Above the national average;Same as the national average;2017-05-20
49;100204;Above the national average;Same as the national average;Same as the national average;Below the national average;Below the national average;Above the national average;Above the national average;2017-05-20
50;100209;Same as the national average;Same as the national average;Same as the national average;Below the national average;Below the national average;Above the national average;Same as the national average;2017-05-20
51;100244;Below the national average;Below the national average;Same as the national average;Below the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
52;21301;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
53;21304;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
54;21307;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
55;110030;Same as the national average;Same as the national average;Same as the national average;Below the national average;Same as the national average;Above the national average;Same as the national average;2017-05-20
56;110038;Below the national average;Below the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;2017-05-20
57;110041;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
58;110128;Below the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;Below the national average;Same as the national average;2017-05-20
59;111313;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
60;111335;Not Available;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
61;113301;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
62;120028;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
63;130013;Same as the national average;Above the national average;Same as the national average;Below the national average;Above the national average;Above the national average;Same as the national average;2017-05-20
64;140007;Same as the national average;Same as the national average;Below the national average;Same as the national average;Below the national average;Below the national average;Above the national average;2017-05-20
65;131323;Not Available;Not Available;Not Available;Above the national average;Same as the national average;Not Available;Not Available;2017-05-20
66;140002;Above the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Below the national average;Same as the national average;2017-05-20
67;140015;Above the national average;Same as the national average;Same as the national average;Above the national average;Below the national average;Below the national average;Below the national average;2017-05-20
68;140018;Same as the national average;Below the national average;Same as the national average;Below the national average;Same as the national average;Below the national average;Same as the national average;2017-05-20
69;140052;Same as the national average;Same as the national average;Same as the national average;Above the national average;Below the national average;Same as the national average;Same as the national average;2017-05-20
70;140118;Same as the national average;Below the national average;Same as the national average;Below the national average;Below the national average;Same as the national average;Above the national average;2017-05-20
71;140191;Same as the national average;Same as the national average;Same as the national average;Below the national average;Below the national average;Above the national average;Above the national average;2017-05-20
72;140210;Below the national average;Above the national average;Same as the national average;Same as the national average;Below the national average;Not Available;Same as the national average;2017-05-20
73;140258;Same as the national average;Same as the national average;Above the national average;Same as the national average;Above the national average;Below the national average;Above the national average;2017-05-20
74;140286;Same as the national average;Above the national average;Above the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;2017-05-20
75;141302;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
76;141306;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
77;141328;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
78;141346;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
79;141349;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
80;143300;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
81;143301;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
82;150069;Same as the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;2017-05-20
83;150089;Same as the national average;Same as the national average;Same as the national average;Below the national average;Above the national average;Above the national average;Same as the national average;2017-05-20
84;150128;Above the national average;Same as the national average;Above the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;2017-05-20
85;160089;Below the national average;Above the national average;Same as the national average;Below the national average;Above the national average;Below the national average;Same as the national average;2017-05-20
86;161377;Not Available;Not Available;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
87;170166;Not Available;Above the national average;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
88;171303;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
89;171312;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
90;171318;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
91;171322;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
92;171324;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
93;171338;Same as the national average;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
94;171344;Not Available;Above the national average;Not Available;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
95;171356;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
96;171373;Same as the national average;Above the national average;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
97;171382;Not Available;Not Available;Not Available;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
98;180010;Same as the national average;Below the national average;Same as the national average;Below the national average;Same as the national average;Below the national average;Same as the national average;2017-05-20
99;180079;Same as the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
100;180080;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
101;190116;Below the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
102;190144;Same as the national average;Above the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
103;190145;Same as the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
104;190266;Not Available;Not Available;Not Available;Above the national average;Not Available;Not Available;Not Available;2017-05-20
105;200033;Above the national average;Below the national average;Same as the national average;Below the national average;Below the national average;Same as the national average;Below the national average;2017-05-20
106;191318;Not Available;Not Available;Not Available;Not Available;Below the national average;Not Available;Same as the national average;2017-05-20
107;200018;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
108;201301;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
109;201312;Not Available;Not Available;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
110;210011;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
111;220010;Same as the national average;Below the national average;Same as the national average;Below the national average;Below the national average;Below the national average;Above the national average;2017-05-20
112;220171;Same as the national average;Below the national average;Below the national average;Same as the national average;Below the national average;Below the national average;Above the national average;2017-05-20
113;221300;Not Available;Not Available;Not Available;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
114;230110;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;2017-05-20
115;230132;Same as the national average;Below the national average;Below the national average;Below the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
116;230197;Above the national average;Below the national average;Below the national average;Below the national average;Below the national average;Below the national average;Above the national average;2017-05-20
117;230269;Above the national average;Same as the national average;Same as the national average;Same as the national average;Below the national average;Above the national average;Above the national average;2017-05-20
118;230273;Same as the national average;Below the national average;Same as the national average;Below the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
119;230277;Same as the national average;Above the national average;Same as the national average;Same as the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
120;231303;Below the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
121;231322;Same as the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
122;231323;Same as the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
123;240206;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
124;241300;Not Available;Same as the national average;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
125;241306;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
126;250006;Same as the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;2017-05-20
127;241379;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
128;250057;Same as the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
129;250060;Not Available;Above the national average;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
130;250084;Below the national average;Same as the national average;Same as the national average;Below the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
131;250097;Same as the national average;Same as the national average;Same as the national average;Below the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
132;250127;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
133;250134;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
134;251309;Below the national average;Above the national average;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
135;260020;Above the national average;Same as the national average;Above the national average;Above the national average;Below the national average;Above the national average;Above the national average;2017-05-20
136;260032;Above the national average;Below the national average;Same as the national average;Above the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
137;260108;Above the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Above the national average;2017-05-20
138;260141;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Below the national average;Below the national average;Below the national average;2017-05-20
139;260142;Same as the national average;Above the national average;Below the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
140;260183;Below the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Below the national average;Below the national average;2017-05-20
141;260214;Same as the national average;Above the national average;Same as the national average;Same as the national average;Below the national average;Above the national average;Same as the national average;2017-05-20
142;261318;Not Available;Not Available;Not Available;Not Available;Below the national average;Not Available;Same as the national average;2017-05-20
143;261335;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
144;261336;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
145;263301;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
146;270003;Same as the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;Below the national average;2017-05-20
147;271304;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
148;271309;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
149;271321;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
150;271339;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
151;280009;Same as the national average;Above the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
152;280013;Above the national average;Below the national average;Same as the national average;Above the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
153;280133;Not Available;Not Available;Not Available;Above the national average;Not Available;Not Available;Not Available;2017-05-20
154;281300;Same as the national average;Not Available;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
155;281301;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
156;281302;Not Available;Same as the national average;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
157;281303;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
158;281309;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
159;281312;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
160;281314;Not Available;Not Available;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
161;281315;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
162;281316;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
163;281319;Same as the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
164;281326;Same as the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
165;281327;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
166;281331;Not Available;Not Available;Not Available;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
167;281334;Not Available;Same as the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
168;281335;Not Available;Not Available;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
169;281336;Same as the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
170;390093;Below the national average;Above the national average;Same as the national average;Below the national average;Same as the national average;Below the national average;Same as the national average;2017-05-20
171;281338;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
172;281340;Not Available;Not Available;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
173;281344;Same as the national average;Not Available;Not Available;Same as the national average;Same as the national average;Not Available;Not Available;2017-05-20
174;281346;Not Available;Above the national average;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
175;281347;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
176;100213;Same as the national average;Above the national average;Same as the national average;Below the national average;Below the national average;Above the national average;Below the national average;2017-05-20
177;281349;Not Available;Same as the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
178;281351;Not Available;Same as the national average;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
179;281352;Not Available;Same as the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
180;281354;Not Available;Same as the national average;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
181;281360;Not Available;Same as the national average;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
182;281361;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
183;281363;Same as the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
184;281364;Same as the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
185;290041;Same as the national average;Below the national average;Below the national average;Below the national average;Same as the national average;Below the national average;Above the national average;2017-05-20
186;290045;Above the national average;Below the national average;Same as the national average;Below the national average;Above the national average;Below the national average;Below the national average;2017-05-20
187;290057;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
188;291306;Same as the national average;Not Available;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
189;291314;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
190;310009;Same as the national average;Below the national average;Same as the national average;Below the national average;Same as the national average;Above the national average;Same as the national average;2017-05-20
191;310010;Same as the national average;Below the national average;Same as the national average;Same as the national average;Below the national average;Above the national average;Same as the national average;2017-05-20
192;310011;Below the national average;Below the national average;Same as the national average;Same as the national average;Below the national average;Same as the national average;Same as the national average;2017-05-20
193;310034;Same as the national average;Below the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
194;310038;Above the national average;Below the national average;Same as the national average;Below the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
195;310044;Same as the national average;Below the national average;Same as the national average;Below the national average;Same as the national average;Below the national average;Same as the national average;2017-05-20
196;310054;Same as the national average;Same as the national average;Below the national average;Below the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
197;310091;Same as the national average;Same as the national average;Same as the national average;Below the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
198;310110;Above the national average;Below the national average;Same as the national average;Below the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
199;100248;Same as the national average;Above the national average;Same as the national average;Below the national average;Below the national average;Same as the national average;Below the national average;2017-05-20
200;320058;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
201;320059;Not Available;Not Available;Same as the national average;Below the national average;Same as the national average;Not Available;Not Available;2017-05-20
202;320060;Not Available;Not Available;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
203;320062;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
204;320070;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
205;321309;Same as the national average;Same as the national average;Same as the national average;Below the national average;Below the national average;Not Available;Same as the national average;2017-05-20
206;330024;Same as the national average;Below the national average;Same as the national average;Below the national average;Same as the national average;Below the national average;Above the national average;2017-05-20
207;330049;Same as the national average;Above the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
208;330055;Same as the national average;Below the national average;Below the national average;Below the national average;Below the national average;Above the national average;Same as the national average;2017-05-20
209;330058;Same as the national average;Below the national average;Above the national average;Below the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
210;330085;Below the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Below the national average;Same as the national average;2017-05-20
211;330136;Same as the national average;Below the national average;Same as the national average;Below the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
212;330181;Same as the national average;Below the national average;Same as the national average;Below the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
213;330195;Above the national average;Below the national average;Below the national average;Below the national average;Below the national average;Below the national average;Above the national average;2017-05-20
214;330198;Above the national average;Below the national average;Same as the national average;Below the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
215;330304;Above the national average;Below the national average;Above the national average;Above the national average;Below the national average;Below the national average;Above the national average;2017-05-20
216;330385;Not Available;Below the national average;Same as the national average;Below the national average;Below the national average;Same as the national average;Not Available;2017-05-20
217;330386;Not Available;Below the national average;Same as the national average;Below the national average;Below the national average;Below the national average;Same as the national average;2017-05-20
218;330393;Same as the national average;Below the national average;Same as the national average;Same as the national average;Below the national average;Below the national average;Above the national average;2017-05-20
219;331303;Not Available;Above the national average;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
220;340030;Same as the national average;Below the national average;Same as the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;2017-05-20
221;340047;Above the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Below the national average;Same as the national average;2017-05-20
222;340127;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Below the national average;Same as the national average;Same as the national average;2017-05-20
223;340132;Above the national average;Below the national average;Same as the national average;Below the national average;Below the national average;Above the national average;Below the national average;2017-05-20
224;340144;Same as the national average;Same as the national average;Same as the national average;Below the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
225;340156;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
226;340171;Above the national average;Same as the national average;Same as the national average;Below the national average;Above the national average;Above the national average;Same as the national average;2017-05-20
227;341302;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
228;341320;Not Available;Above the national average;Not Available;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
229;341323;Not Available;Not Available;Not Available;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
230;350063;Not Available;Not Available;Same as the national average;Not Available;Not Available;Not Available;Not Available;2017-05-20
231;350064;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
232;351305;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
233;351312;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
234;351318;Same as the national average;Above the national average;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
235;351319;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;Not Available;Not Available;2017-05-20
236;351331;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
237;360051;Same as the national average;Same as the national average;Same as the national average;Below the national average;Above the national average;Same as the national average;Above the national average;2017-05-20
238;360076;Same as the national average;Same as the national average;Same as the national average;Below the national average;Above the national average;Above the national average;Same as the national average;2017-05-20
239;360098;Above the national average;Below the national average;Same as the national average;Same as the national average;Below the national average;Above the national average;Above the national average;2017-05-20
240;360133;Same as the national average;Same as the national average;Same as the national average;Above the national average;Same as the national average;Above the national average;Same as the national average;2017-05-20
241;360245;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
242;360262;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Above the national average;Above the national average;Above the national average;2017-05-20
243;360274;Not Available;Not Available;Same as the national average;Same as the national average;Not Available;Not Available;Not Available;2017-05-20
244;363306;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
245;363308;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
246;370034;Below the national average;Above the national average;Same as the national average;Below the national average;Same as the national average;Below the national average;Below the national average;2017-05-20
247;370048;Below the national average;Below the national average;Below the national average;Same as the national average;Same as the national average;Not Available;Same as the national average;2017-05-20
248;370049;Same as the national average;Above the national average;Same as the national average;Above the national average;Above the national average;Same as the national average;Same as the national average;2017-05-20
249;370054;Same as the national average;Above the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;Same as the national average;2017-05-20
250;370183;Not Available;Above the national average;Same as the national average;Not Available;Same as the national average;Not Available;Same as the national average;2017-05-20
251;370214;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;Not Available;2017-05-20
252;370222;Not Available;Same as the national average;Same as the national average;Above the national average;Not Available;Same as the national average;Not Available;2017-05-20
